meta_pmid,study_pmid
36115222,22270405
36115222,23726981
36115222,27575491
36115222,25051341
36115222,25727574
36115222,22717339
36115222,23190458
36115222,26094186
36115222,26078198
36115222,24793365
36115222,28150390
36115222,28720860
36115222,22076160
36115222,28824470
36115222,19775795
36115222,20699124
36115222,28992531
34400176,30806013
34400176,24029699
34400176,18976696
34400176,19650816
34400176,30748046
34400176,20147458
34400176,11793627
34400176,16687507
34400176,22868938
34400176,30217552
34400176,28960762
34400176,21718449
34400176,23051899
34400176,26171329
34400176,31801965
34400176,11515754
34400176,17217932
34400176,25796007
34400176,18588532
34400176,19492068
34400176,24035535
34400176,21677649
34400176,23708507
34400176,19781106
34400176,26475784
34400176,24880692
34400176,22264344
34400176,26813476
34400176,23078363
34400176,24304235
34400176,19632211
34400176,16023086
34400176,18458752
34400176,22514316
34400176,31972520
34400176,24361634
34400176,26679479
34400176,26805583
34400176,28017966
34400176,15961048
34400176,19651613
34400176,27168331
34400176,23382517
34400176,21299752
34400176,21199958
34400176,23131612
34400176,34367371
34400176,11058476
34400176,11296095
34400176,29472643
34400176,22006991
34400176,18761592
34400176,23188041
34400176,19420266
34400176,20823246
34400176,20840335
34400176,22591950
34400176,23257512
34400176,15127179
34400176,31984205
34400176,21790899
34400176,23359677
34400176,15465974
34400176,17488322
34400176,16899037
34400176,21672322
34400176,33132409
34400176,21045002
34400176,19968401
34400176,20172508
34400176,20703221
34400176,21764527
34400176,25567427
34400176,24261848
34400176,24314346
34400176,30687610
34400176,21883951
34400176,22542509
34400176,30886575
34400176,30243035
34400176,12948696
34400176,16467858
34400176,22684096
34400176,23347356
34400176,24939441
34400176,19907419
34400176,29434559
34400176,23245948
34400176,29984874
34400176,22461323
34400176,24871202
34400176,26767945
34400176,20604987
34400176,16167185
34400176,22759909
34400176,37334732
34400176,25214465
34400176,28045460
34400176,21834172
34400176,30788529
34400176,22329835
34400176,23571420
34400176,28351544
34400176,30646331
34400176,18460331
34400176,31730369
34400176,16598192
34400176,17611740
34400176,19107465
34400176,26179147
34400176,20678551
34400176,30537770
34400176,29106683
34400176,24529072
34400176,30165099
34400176,16962339
34400176,22332246
34400176,14679386
34400176,18391135
34400176,20571434
34400176,30734916
34400176,28801730
34400176,22395731
34400176,24275010
34400176,17307790
34400176,17636559
34400176,16979350
34400176,16815041
34400176,23683790
34400176,23497788
34400176,22458561
34400176,20729530
34400176,24949564
34400176,17566768
34400176,21952129
34400176,21185518
34400176,17469913
34400176,21316465
34400176,23389755
34400176,22580204
34400176,18996508
34400176,18358744
34400176,33224402
34400176,30991248
34400176,19365394
34400176,20881127
34400176,15703257
34400176,24523702
34400176,16133128
34400176,16299017
34400176,16038771
34400176,31394197
34400176,29729394
34400176,12860777
34400176,14667419
34400176,16445991
34400176,19015835
34400176,22097928
34400176,23955492
34400176,20670348
34400176,20331560
34400176,21292243
34400176,21790907
34400176,21248113
34400176,24720731
34400176,23421466
34400176,25117824
34400176,30734203
34400176,22114078
34400176,24186078
34400176,22887826
34400176,32125616
34400176,21466926
34400176,16085533
34400176,21859165
34400176,22483100
34400176,12381499
34400176,17291784
34400176,16406379
34400176,24779871
34400176,22890475
34400176,18266213
34400176,24695721
34400176,26303184
34400176,32258854
34400176,20576388
34400176,20688176
34400176,30295396
34400176,36003900
34400176,31204249
34400176,18823721
32078973,21766170
32078973,21451019
32078973,19211872
32078973,21325535
32078973,24474790
32078973,23982589
32078973,22339607
32078973,18295984
32078973,17475792
32078973,15130588
32078973,28686139
32078973,29408323
32078973,29408524
32078973,23041528
32078973,21933719
32078973,19524531
32078973,25277841
32078973,23345243
32078973,18572984
32078973,23313780
32078973,25798082
32078973,19812332
32078973,28429160
32078973,22309791
32078973,15795134
32078973,24137106
32078973,22994937
32078973,11239442
32078973,20877644
32078973,26176860
32078973,22250647
32078973,16778890
32078973,23773952
32078973,23723089
32078973,23536092
32078973,26500486
32078973,16033924
32078973,25632132
32078973,10731225
32078973,19576868
32078973,15327927
32078973,23365248
32078973,20357071
32078973,27620345
32078973,18981414
32078973,27623361
32078973,15588617
32078973,23148798
32078973,22707378
32078973,24867804
32078973,23644912
32078973,26780575
32078973,30133446
32078973,24754451
32078973,21995446
32078973,23476024
32078973,24317375
32078973,28164168
32078973,25206656
32078973,22922368
32078973,25112281
32078973,15483614
32078973,16785427
32078973,21334351
32078973,19587274
32078973,20472072
32078973,16339445
32078973,25067816
32078973,15800185
32078973,16504951
32078973,26071624
32078973,18612380
32078973,23355606
32078973,25100220
32078973,21555079
32078973,20032247
32078973,21106817
32078973,23392532
32078973,23966584
32078973,28131889
32078973,24607236
32078973,14700259
32078973,31634665
32078973,28131862
32078973,24355752
32078973,27177981
32078973,18787233
32078973,19015090
32078973,27975159
32078973,16959497
32078973,20032238
32078973,20301345
32078973,28413776
32078973,24367286
32078973,25281799
32078973,21741443
32078973,24857827
32078973,25819606
32078973,18727234
32078973,28129057
32078973,27989774
32078973,20138482
32078973,19879367
32078973,25055179
32078973,20505110
32078973,12944524
32078973,27591399
32078973,15784440
32078973,15184037
32078973,12655327
32078973,11906224
32078973,11133312
32078973,11751032
32078973,12062884
32078973,17949691
32078973,12948701
32078973,12513946
32078973,23707590
32078973,26510176
32078973,18045902
32078973,20805539
32078973,26640434
32078973,26269638
32078973,18582578
32078973,26076493
32078973,21864197
32078973,21354189
32078973,26238384
32078973,28250149
32078973,25498405
32078973,18375149
32078973,18804540
32078973,21534685
32078973,24298242
32078973,10860790
32078973,27001826
32078973,17274020
32078973,25698984
32078973,18997791
32078973,20188198
32078973,12802176
32078973,26052943
32078973,18710652
32078973,26879047
32078973,19897796
32078973,23684860
32078973,22486330
32078973,18842669
32078973,16971537
32078973,15795135
32078973,22194728
32078973,31019695
31063939,24302373
31063939,22259064
31063939,15054065
31063939,15537894
31063939,18971479
31063939,21195190
31063939,16199831
31063939,22557992
31063939,22503940
31063939,16263248
31063939,26497037
31063939,20421251
31063939,26829319
31063939,15183387
31063939,25608023
31063939,23627087
31063939,22565029
31063939,22593062
31063939,15981537
31063939,23286303
31063939,23205857
31063939,18698363
31063939,28368647
31063939,11123521
31063939,24795594
31063939,19553435
31063939,17483192
31063939,21292598
31063939,27110113
31063939,17007976
31063939,30591784
29338547,20600341
29338547,27034622
29338547,25158155
29338547,12151022
29338547,15907305
29338547,26249266
29338547,18220626
29338547,22994937
29338547,15528091
29338547,25799565
29338547,24200202
29338547,19789023
29338547,26822360
29338547,19915583
29338547,18155446
29338547,15561477
29338547,22159107
29338547,25516371
29338547,23142193
29338547,18296071
29338547,20840201
29338547,18072830
29338547,18266549
29338547,15561477
29338547,26715721
29338547,23016662
29338547,18540914
29338547,21237342
29338547,24587965
29338547,18072830
29338547,21956445
29338547,20061126
29338547,21691942
29338547,27454677
29338547,25139065
27251183,26110109
27251183,25125263
27251183,25674056
27251183,25051341
27251183,24832823
27251183,22445480
27251183,20699124
27251183,22076160
27251183,21281718
27251183,21909705
27251183,20731627
27251183,18165464
27251183,16962291
27251183,17004938
27251183,14706428
18511305,17136951
18511305,17159912
18511305,8947281
18511305,9827597
18511305,11742203
18511305,9818942
18511305,18591121
18511305,1822545
18511305,16499163
18511305,15970732
18511305,15803561
18511305,10493903
18511305,11053230
18511305,11698832
18511305,12875920
18511305,11681302
18511305,10549809
18511305,11034860
18511305,11034860
18511305,9626674
18511305,10493901
18511305,10619657
18511305,11112401
18511305,14686911
18511305,9001657
18511305,17141478
18511305,15919546
18511305,11129045
18511305,9821558
18511305,11999890
18511305,8892216
18511305,16879300
18511305,15862216
18511305,8813292
18511305,9460526
18511305,11144756
18511305,18228449
18511305,16853932
